I Semester,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,5,0,1,0,0,1,0,2,2,1,0,5,2,0,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,Lateral Entry,Lateral Entry,Lateral Entry,DEBARRED CANDIDATE
,1,0,2,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,5,0,1,0,0,1,0,2,2,1,0,5,2,0,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,,,,
,5.85,7.27,5.27,8.15,8.5,7.08,6.54,7.15,6.35,6.5,7.62,4.85,7.23,6.12,7.5,4.62,7.88,7.54,6.65,8.08,8.5,6.38,6.73,7.88,7.77,5.46,8.62,8.27,8.88,8.65,7.5,8.12,6.62,5.58,6.19,8.46,8.19,6.62,6.62,7.88,2.69,7.08,5.77,7.19,7.23,5.81,7.5,5.46,4.85,7.15,7.19,2.12,4.77,6.31,5.35,4.5,6.04,7.38,6.27,8.27,7.31,7.27,7.73,7.27,6.35,8.31,7.23,7.81,7.31,8.27,7.23,7.38,8.62,7.35,4.12,,,,
II Semester,0,0,6,1,0,1,2,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,1,7,1,2,0,0,2,0,0,1,0,0,5,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,,,,
,0,0,8,1,0,1,1,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,0,0,1,1,1,10,1,2,0,0,2,0,0,2,0,0,7,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5,,,,
,6.43,7.24,3.76,7.49,8.08,6.25,5.43,6.76,5.73,6.94,7.45,4.88,6.96,5.71,7.53,4.39,7.29,7.24,6.55,7.59,8.16,6.37,6.1,8.06,7.29,4.02,8.29,8.1,8.22,8.59,7.16,7.84,6.16,5.33,6.1,8.35,7.35,6.82,6.18,7.51,1.73,6.9,5.2,7.25,6.71,5.27,7.49,6.04,5.04,6.92,7.1,2.16,5.22,6.18,5.55,4.73,6.12,6.98,5.57,7.9,6.8,6.98,7.29,7.29,5.49,7.92,7.14,7.43,7.18,7.88,6.49,6.8,8.29,6.9,3.9,,,,
III Semester,1,0,4,0,0,1,1,1,1,0,2,2,1,0,2,2,1,2,2,1,0,2,0,1,5,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,6,0,0,0,0,2,0,0,1,0,0,5,2,2,3,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,4,0,1
,1,0,6,1,0,1,2,1,1,0,2,1,1,1,2,3,1,2,2,1,0,2,1,1,5,5,0,0,0,0,0,0,1,1,1,0,0,0,1,1,13,0,2,0,0,4,0,0,1,0,0,11,3,2,3,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,1,4,3,3
,6.78,7.56,2.58,7.25,8.04,5.61,4.53,6.42,5.34,7.44,7.4,5.9,5.22,6.25,6.71,5.89,5.04,6.32,6.07,5.98,7.21,7.27,5.55,6.44,7.4,4.7,5.11,8.11,7.33,7.93,7.8,6.97,7.11,5.27,5.43,6.52,7.55,6.82,5.96,7.34,1.43,7.1,5.51,6.95,6.83,4.9,7.44,6.63,5.19,6.87,7.16,2.27,4.91,5.54,4.82,4.67,6.34,6.64,5.11,7.39,6.64,6.62,6.99,7.39,6.07,7.87,7.07,7.67,7.13,7.85,5.25,5.55,8.08,6.82,3.32,5.43,3,3.39,5.52
IV Semester,0,0,3,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,1,4,0
,0,0,8,0,0,0,4,0,1,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,5,11,0,0,0,0,0,0,1,1,0,0,0,6,1,0,18,0,0,0,0,1,0,0,0,0,0,4,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,7,0,1,3,1
,6.63,7.56,3.29,6.8,7.34,6,5.03,6.82,5.41,7.52,5.99,5.55,6.19,7.03,4.86,6.11,6.79,6.21,6.45,7.72,7.33,4.91,6.87,7.29,6.8,6.53,8.16,7.47,8.18,7.64,7.03,7.18,5.79,6.39,7.17,7.63,6.43,3.78,6,7.31,1.51,6.95,6.08,7,6.94,5.09,7.42,6.69,5.76,7.1,7.42,3.42,5.06,5.73,5.75,5.65,6.83,6.58,5.26,7.39,7.06,7.11,6.54,7.79,6.28,7.98,6.97,7.76,7.03,8.07,5.3,5.58,8.12,7.23,3.5,6,4.06,3.59,6
V Semester,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,2,3,0
,0,0,5,0,0,0,2,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,7,0,3,4,1
,7.1,7.66,5.94,7.42,7.66,6.61,5.93,7.06,6.16,7.25,7.75,5.99,6.62,6.51,7.57,6.08,7.2,7.02,6.48,7.35,8.21,6.82,6.28,7.48,7.3,5.97,7.99,8.04,7.66,8.35,7.2,7.47,6.85,6.24,6.45,8.2,7.34,7.26,6.9,7.68,6.15,7.07,6.45,7.12,6.86,6.15,7.46,6.96,6.28,7.34,7.31,5.76,6.08,6.27,6.39,6.2,6.8,6.92,6.43,7.84,6.93,6.99,7.11,7.9,6.53,8.06,7.17,7.7,7.31,8.07,6.34,6.49,8.21,7.12,5.97,6.35,6.05,6.24,5.77
VI Semester,0,0,0,2,0,0,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,1
,0,0,5,2,0,0,2,0,3,0,0,1,1,0,0,7,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,6
,7.14,7.75,6.01,7.42,7.73,6.75,5.99,7.17,6.32,7.29,7.88,6.22,6.69,6.56,7.63,6.2,7.11,7.15,6.63,7.33,8.21,6.95,6.29,7.45,7.33,6.05,8.03,8.09,7.75,8.26,7.34,7.56,6.97,6.46,6.47,8.17,7.48,7.32,7.01,7.73,6.52,7.14,6.68,7.17,7.09,6.51,7.47,7.16,6.28,7.44,7.44,5.91,6.18,6.53,6.58,6.55,6.84,6.99,6.58,7.94,7.04,7.29,7.3,7.96,6.78,8.12,7.26,7.74,7.39,8.21,6.55,6.58,8.22,7.26,6.03,6.39,5.85,6.23,5.97
VII Semester,0,0,2,0,0,1,0,0,1,0,0,0,1,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1
